Date,crude_price,sp_500,vix,usd,world_oil_consumption,world_oil_production
2008-03-19,108.48689793178015,1304.7448979591838,28.208938941177056,72.46679656359615,47628.992,3332109.5586
2008-03-20,108.51914277368664,1303.8477554009885,28.451755336839323,72.36883769132653,47628.992,3332109.5586
2008-03-21,108.34904073598435,1303.2115312848775,28.567888078884202,72.3115623707674,47628.992,3332109.5586
2008-03-22,107.97348967571648,1302.9137766312579,28.650275944690314,72.26860338327836,47628.992,3332109.5586
2008-03-23,107.39248959288307,1302.9544914401306,28.69891893425766,72.23996072885942,47628.992,3332109.5586
2008-03-24,106.75842831670022,1304.4237776775751,28.556337339050913,72.28768535536163,47628.992,3332109.5586
2008-03-25,105.94334673200335,1306.1073496293047,28.423959786551336,72.37418552320831,47628.992,3332109.5586
2008-03-26,105.2682650040607,1308.7705134177693,28.16137813062084,72.44170593728825,47628.992,3332109.5586
2008-03-27,104.88359166359415,1312.2034725267058,27.89736787056436,72.46147116836237,47628.992,3332109.5586
2008-03-28,104.60340817509864,1315.726839649434,27.625704490895174,72.46456298049615,47628.992,3332109.5586
2008-03-29,104.38338800547074,1319.9467372349332,27.289979837378677,72.4740016859405,47628.992,3332109.5586
2008-03-30,104.2235311547104,1324.863165283203,26.890193910014876,72.48978728469537,47628.992,3332109.5586
2008-03-31,104.17673554712412,1327.72857292331,26.620816211311187,72.44045039585659,47628.992,3332109.5586
2008-04-01,104.29238890044543,1330.5939805634168,26.290826320648193,72.38346029009138,47628.992,3332089.1504367343
2008-04-02,104.35722597083269,1333.4287759586257,25.983489503665847,72.3576948049117,47628.992,3332048.334110204
2008-04-03,104.22838945972676,1336.6031634895169,25.636764964278864,72.36529671026736,47628.992,3331987.109620408
2008-04-04,104.10659371200872,1340.5333674216756,25.282948659390822,72.38205159245706,47628.992,3331905.476967347
2008-04-05,103.99241018489916,1344.2663265306123,24.938326278997927,72.39900033133371,47628.992,3331803.4361510207
2008-04-06,103.88583887839805,1347.8020408163263,24.602897823100186,72.41614292689732,47628.992,3331680.9871714287
2008-04-07,103.91783886345065,1352.8836734693875,24.204816273280553,72.4638977673589,47628.992,3331538.1300285715
2008-04-08,104.10820608333665,1357.5877551020405,23.862244913529377,72.49716298628826,47628.992,3331415.6810489795
2008-04-09,104.4436753564951,1361.3479591836733,23.56110210029446,72.50308134117905,47628.992,3331313.6402326534
2008-04-10,104.98383848229231,1363.995918367347,23.289347053060727,72.498591489208,47628.992,3331232.0075795916
2008-04-11,105.59134845344387,1364.8173469387755,23.104734794461,72.48287724086217,47628.992,3331170.7830897956
2008-04-12,106.34167468012595,1365.0959183673472,22.950285775320868,72.46059162373446,47628.992,3331129.9667632654
2008-04-13,107.23481716233856,1364.831632653061,22.82599999564034,72.43173463782486,47628.992,3331109.5586
2008-04-14,108.02918436478595,1362.745918367347,22.795387688461613,72.38848985944476,47628.992,3331109.5586
2008-04-15,108.77804145034477,1359.935714285714,22.77987741742815,72.34922466667331,47628.992,3331109.5586
2008-04-16,109.48649030412948,1357.564285714286,22.730489637413804,72.31148986816406,47628.992,3331109.5586
2008-04-17,110.16371469303054,1355.6061224489797,22.67334677248585,72.26497970892459,47628.992,3331109.5586
2008-04-18,110.89481677619779,1355.4642857142858,22.52763251479791,72.228367365623,47628.992,3331109.5586
2008-04-19,111.59351077955596,1355.3469387755104,22.377632561508495,72.19020395084303,47628.992,3331109.5586
2008-04-20,112.25979670310505,1355.254081632653,22.223346912617586,72.15048946458465,47628.992,3331109.5586
2008-04-21,112.98832743119219,1357.1612244897958,21.972734747127614,72.11322401397082,47628.992,3331109.5586
2008-04-22,113.72277654531051,1360.6959183673468,21.674571562786493,72.06555035649514,47628.992,3331109.5586
2008-04-23,114.44314413265306,1364.1642857142856,21.417428752354216,72.03583613804408,47628.992,3331109.5586
2008-04-24,115.091062678123,1367.719387755102,21.186816499671156,72.03357076839525,47628.992,3331109.5586
2008-04-25,115.64265451236646,1370.3867346938775,21.013143041182538,72.04324431127432,47628.992,3331109.5586
2008-04-26,116.1713075287488,1373.6061224489792,20.835592020774374,72.06279545998088,47628.992,3331109.5586
2008-04-27,116.67702172727002,1377.3775510204082,20.654163438446666,72.09222421451491,47628.992,3331109.5586
2008-04-28,117.09191950583944,1380.1744897959184,20.522938919067382,72.14553063840283,47628.992,3331109.5586
2008-04-29,117.31661305330238,1382.2724489795917,20.417836823755383,72.24608201007455,47628.992,3331109.5586
2008-04-30,117.37375544333945,1384.3704081632654,20.329061282410915,72.35204137685346,47628.992,3331109.5586
2008-05-01,117.3341631830955,1386.7081632653062,20.222530660823903,72.4550416284678,47628.992,3331025.6583732427
2008-05-02,117.21232620550663,1389.2448979591838,20.098244920068858,72.55569498490314,47628.992,3330857.857919728
2008-05-03,116.9649789926957,1391.5346938775513,19.98538774762835,72.67059326171875,47628.992,3330606.1572394557
2008-05-04,116.59212154466279,1393.5775510204082,19.883959143502377,72.79973645891462,47628.992,3330270.5563324266
2008-05-05,116.21824378188775,1395.651020408163,19.78497953609545,72.92183865916972,47628.992,3329851.055198639
2008-05-06,116.04742733702368,1398.112244897959,19.657428507902186,73.0134305992905,47628.992,3329347.6538380953
2008-05-07,116.18089668118225,1400.6091836734693,19.497428458077568,73.11114505067165,47628.992,3328760.3522507935
2008-05-08,116.61457024399115,1402.1877551020407,19.372122301374166,73.19824716996175,47628.992,3328256.9508902496
2008-05-09,117.28987638512434,1402.8377551020405,19.300693683235014,73.26238994987645,47628.992,3327837.4497564626
2008-05-10,118.17481524409081,1403.2091836734692,19.23526506229323,73.3135326463349,47628.992,3327501.8488494335
2008-05-11,119.26938682089045,1403.3020408163263,19.17583643854881,73.35167525933714,47628.992,3327250.148169161
2008-05-12,120.42599923270089,1403.104081632653,19.1088568161945,73.37287921516263,47628.992,3327082.3477156465
2008-05-13,121.5366934328663,1401.9775510204083,19.078611911073022,73.39796061613121,47628.992,3326998.447488889
2008-05-14,122.45595911765585,1400.9173469387754,19.02775479530802,73.40069505341198,47628.992,3326998.447488889
2008-05-15,123.15604101687062,1400.918367346939,18.903020111395392,73.3960825394611,47628.992,3326998.447488889
2008-05-16,123.66612296590999,1402.215306122449,18.693183385109414,73.39555175158443,47628.992,3326998.447488889
2008-05-17,124.05930698939733,1403.7530612244898,18.45326503831513,73.38728628353196,47628.992,3326998.447488889
2008-05-18,124.33559308733258,1405.5316326530613,18.183265071012535,73.37128613530375,47628.992,3326998.447488889
2008-05-19,124.58249138034121,1407.891836734694,17.91999975710499,73.36161246786313,47628.992,3326998.447488889
2008-05-20,124.81530799087213,1410.8387755102042,17.653265053885324,73.32795930200693,47628.992,3326998.447488889
2008-05-21,125.21669591786909,1413.2295918367347,17.447754840461577,73.26655102165378,47628.992,3326998.447488889
2008-05-22,125.74583883480149,1414.319387755102,17.34122422665966,73.18646940893056,47628.992,3326998.447488889
2008-05-23,126.38865521489357,1413.5928571428572,17.357550765057,73.09159190898039,47628.992,3326998.447488889
2008-05-24,127.104777651417,1412.365306122449,17.431142604594328,72.98093893868584,47628.992,3326998.447488889
2008-05-25,127.89420614437181,1410.6367346938775,17.561999745271645,72.85451049804688,47628.992,3326998.447488889
2008-05-26,128.7130223644023,1407.674744897959,17.738009949119725,72.70792893390266,47628.992,3326998.447488889
2008-05-27,129.4606139825315,1403.7841836734694,17.964224215916225,72.5779800726443,47628.992,3326998.447488889
2008-05-28,129.98187914478535,1400.164030612245,18.181254793673144,72.48945975790218,47628.992,3326998.447488889
2008-05-29,130.28110370246733,1397.273469387755,18.3644078235237,72.43757205885284,47628.992,3326998.447488889
2008-05-30,130.3611444745745,1396.0002551020407,18.449601685270974,72.42588831064653,47628.992,3326998.447488889
2008-05-31,130.28768525415538,1394.8153061224489,18.52659146250511,72.43932696751186,47628.992,3326998.447488889
2008-06-01,130.06072604120996,1393.7186224489794,18.595377155226107,72.47788802944883,47628.992,3326987.109620408
2008-06-02,129.6743791229871,1393.165306122449,18.663244498505886,72.55073481189962,47628.992,3326964.433883447
2008-06-03,129.19986878998427,1393.152806122449,18.70131594210255,72.64358166285923,47628.992,3326930.420278005
2008-06-04,128.59086873579997,1392.8852040816325,18.764897589780848,72.7432652298285,47628.992,3326885.068804082
2008-06-05,128.091256293472,1392.678826530612,18.836642494980172,72.82794862863969,47628.992,3326828.3794616787
2008-06-06,127.91878668337452,1391.084693877551,19.060428193150734,72.88201993825484,47628.992,3326760.3522507944
2008-06-07,127.78045989056022,1389.3966836734694,19.313356749865473,72.93484636423538,47628.992,3326680.987171429
2008-06-08,127.6762759150291,1387.6147959183675,19.59542816512439,72.98642790658133,47628.992,3326612.959960545
2008-06-09,127.77903078040298,1385.563775510204,19.916326123840953,73.0204075015321,47628.992,3326556.2706181407
2008-06-10,128.11729602424467,1383.186224489796,20.284979187712377,73.0454072991196,47628.992,3326510.919144218
2008-06-11,128.92107142234335,1380.2423469387757,20.68608127321516,73.04693783351352,47628.992,3326476.905538776
2008-06-12,129.88362246143575,1375.8341836734694,21.173101746306124,73.0655093212517,47628.992,3326454.2298018145
2008-06-13,130.54270436812422,1372.2219387755101,21.495428348074153,73.13020314586404,47628.992,3326442.8919333336
2008-06-14,131.3428170028998,1368.2408163265304,21.82673455841687,73.19969289351482,47628.992,3326442.8919333336
2008-06-15,132.2839603657625,1363.8908163265307,22.167020377334286,73.27397856420399,47628.992,3326442.8919333336
2008-06-16,133.09591986208545,1359.8724489795916,22.39587760458187,73.36714169249242,47628.992,3326442.8919333336
2008-06-17,133.82012419408682,1356.2010204081632,22.522898062881154,73.4551009509028,47628.992,3326442.8919333336
2008-06-18,134.2631037498007,1353.4071428571428,22.543796017705176,73.56091719646842,47628.992,3326442.8919333336
2008-06-19,134.42526662398356,1351.904081632653,22.43306130389778,73.65010089485011,47628.992,3326442.8919333336
2008-06-20,134.65763331821987,1350.0700005978956,22.40375519577338,73.6876519650829,47628.992,3326442.8919333336
2008-06-21,134.74824467873086,1348.7391033561864,22.300530702240614,73.71785611522442,47628.992,3326442.8919333336
2008-06-22,134.69710070551656,1347.9113899075255,22.123387823299485,73.74071334527464,47628.992,3326442.8919333336
2008-06-23,134.68412020936304,1346.3949009486607,22.025020428093114,73.7496931737783,47628.992,3326442.8919333336
2008-06-24,134.67705825494258,1344.2610650510203,21.994816340232383,73.74826463971819,47628.992,3326442.8919333336
2008-06-25,134.62040492466517,1341.8058005819516,21.980530633731767,73.7232648577009,47628.992,3326442.8919333336
2008-06-26,134.81926219706634,1338.2382912149237,22.049918404404,73.67642819151588,47628.992,3326442.8919333336
2008-06-27,135.13709941007656,1333.8328214684313,22.09726532138124,73.63122421576054,47628.992,3326442.8919333336
2008-06-28,135.52873286033164,1328.7118004623724,22.189510197542152,73.57240799884407,47628.992,3326442.8919333336
2008-06-29,135.99416254783162,1322.8752281967475,22.326653032886743,73.49997954076652,47628.992,3326442.8919333336
2008-06-30,136.4826532480668,1317.0845742984695,22.456040822243203,73.4041836485571,47628.992,3326442.8919333336
2008-07-01,136.9911438611089,1311.4214714205996,22.584204093777405,73.29604090476523,47628.992,3326531.3273074836
2008-07-02,137.72718536999758,1304.8348991549744,22.832367387109873,73.1796327240613,47628.992,3326708.198055783
2008-07-03,138.42118580098054,1298.9830207669004,23.049918435544384,73.091081642618,47628.992,3326973.504178232
2008-07-04,139.0469715819067,1294.213387874681,23.279000097391556,73.01804076992735,47628.992,3327327.2456748304
2008-07-05,139.70482858151803,1289.6571428571426,23.526469524539248,72.9448774143141,47628.992,3327769.4225455783
2008-07-06,140.39475679981464,1285.3142857142855,23.79232671698745,72.87159157577825,47628.992,3328300.0347904763
2008-07-07,141.04611360199596,1281.134693877551,24.068796124750254,72.82248936088718,47628.992,3328919.082409524
2008-07-08,141.51583756427377,1277.2969387755104,24.30995941940619,72.8055300965601,47628.992,3329449.6946544223
2008-07-09,141.6480103317572,1274.3775510204082,24.439490036088593,72.81897910760372,47628.992,3329891.87152517
2008-07-10,141.59059139952367,1271.641836734694,24.568204307556154,72.82028539229412,47628.992,3330245.613021769
2008-07-11,141.54082568421657,1268.3397959183674,24.733245104186388,72.81291822316696,47628.992,3330510.919144218
2008-07-12,141.3431211821887,1265.245918367347,24.87812262165303,72.81873478792151,47628.992,3330687.7898925175
2008-07-13,140.9974778934401,1262.3602040816327,25.00283685995608,72.83773508655781,47628.992,3330776.225266667
2008-07-14,140.70163057288346,1259.5918367346937,25.145306178501674,72.83693944191445,47628.992,3330776.225266667
2008-07-15,140.5614979490942,1255.8081632653063,25.40797960514925,72.80711305579361,47628.992,3330776.225266667
2008-07-16,140.54524302579918,1252.1826530612245,25.682081631251744,72.75544978550502,47628.992,3330776.225266667
2008-07-17,140.35102889391842,1248.7510204081632,25.927816322871617,72.70460286043128,47628.992,3330776.225266667
2008-07-18,139.77268214323084,1246.4367346938777,26.04385713655122,72.66304164808625,47628.992,3330776.225266667
2008-07-19,139.14779470015546,1244.2367346938775,26.158163265306126,72.60862833918358,47628.992,3330776.225266667
2008-07-20,138.4763665646923,1242.151020408163,26.270734709136345,72.5413629337233,47628.992,3330776.225266667
2008-07-21,137.43861196089765,1241.2234693877551,26.21738780274683,72.49144459160007,47628.992,3330776.225266667
2008-07-22,136.1255508111448,1242.8469387755101,25.90383677579919,72.46019981539979,47628.992,3330776.225266667
2008-07-23,134.6347344223334,1245.4602040816328,25.515591835489083,72.45426127375389,47628.992,3330776.225266667
2008-07-24,133.31861201695034,1248.098979591837,25.107142818217376,72.4666899544852,47628.992,3330776.225266667
2008-07-25,132.21840786058075,1250.176530612245,24.745632599811163,72.49075112634776,47628.992,3330776.225266667
2008-07-26,131.03244850002991,1253.0867346938776,24.289306048957666,72.53455720239755,47628.992,3330776.225266667
2008-07-27,129.76073393529774,1256.8295918367346,23.738163165656886,72.59810818263462,47628.992,3330776.225266667
2008-07-28,128.64881548200336,1259.35306122449,23.321918253995936,72.6736999044613,47628.992,3330776.225266667
2008-07-29,127.63955037642496,1260.3408163265306,23.073224382984392,72.76342410652005,47628.992,3330776.225266667
2008-07-30,126.88518318643376,1260.527551020408,22.899836645320967,72.84835237775529,47628.992,3330776.225266667
2008-07-31,126.17959149419046,1260.9795918367347,22.74828563612334,72.9264439329809,47628.992,3330776.225266667
2008-08-01,125.6262446812221,1261.7020408163264,22.61306114196777,73.00198462350026,47628.992,3330381.6674435376
2008-08-02,125.21657141860649,1261.8204081632653,22.56102032564124,73.07918346171475,47628.992,3329592.551797279
2008-08-03,124.95057170634368,1261.334693877551,22.592163187143747,73.15804044762436,47628.992,3328408.8783278917
2008-08-04,124.74559220294563,1261.6704081632654,22.584122373619856,73.23934646917849,47628.992,3326830.647035375
2008-08-05,124.59653086759606,1262.6948979591834,22.540571321759902,73.31493838563257,47628.992,3324857.857919729
2008-08-06,124.23277587890625,1263.734693877551,22.479061103353693,73.39930581851881,47628.992,3322490.5109809525
2008-08-07,123.81493907072105,1264.5244897959185,22.391224335651007,73.50428553989956,47628.992,3319728.606219048
2008-08-08,123.15751046939772,1265.834693877551,22.271346757849866,73.64773469263194,47628.992,3317361.2592802728
2008-08-09,122.42179609026229,1267.504081632653,22.121265092187997,73.80410227872889,47628.992,3315388.4701646264
2008-08-10,121.60779593331473,1269.5326530612244,21.940979338665393,73.97338829819037,47628.992,3313810.2388721094
2008-08-11,120.7195099188357,1272.4285714285713,21.707020132882253,74.18216406374562,47628.992,3312626.565402721
2008-08-12,119.76714243986169,1275.064285714286,21.49183647778569,74.42593975456394,47628.992,3311837.4497564626
2008-08-13,118.92926461356026,1277.5724489795919,21.323591582629145,74.69165415861168,47628.992,3311442.8919333336
2008-08-14,118.0719992501395,1280.5857142857144,21.175346717055962,74.97379714031611,47628.992,3311442.8919333336
2008-08-15,117.38759105448821,1283.098979591837,21.044040625435965,75.23410323785276,47628.992,3311442.8919333336
2008-08-16,116.72910125109614,1285.7091836734694,20.922530466196488,75.51261335100448,47628.992,3311442.8919333336
2008-08-17,116.09652983996332,1288.4163265306124,20.81081623933753,75.80932747977123,47628.992,3311442.8919333336
2008-08-18,115.57375460254903,1289.5061224489796,20.785428494823226,76.07053129235092,47628.992,3311442.8919333336
2008-08-19,115.20771390953844,1289.95306122449,20.761673401813116,76.29908207484655,47628.992,3311442.8919333336
2008-08-20,114.87351005709901,1290.2469387755102,20.6879183321583,76.50181654326771,47628.992,3311442.8919333336
2008-08-21,114.76746932049187,1289.642857142857,20.620081609609176,76.65118370834662,47628.992,3311442.8919333336
2008-08-22,114.70734695123166,1288.7326530612245,20.558571406773158,76.7639182577328,47628.992,3311442.8919333336
2008-08-23,114.76171439034599,1287.0989795918365,20.50710200874173,76.83985689124283,47628.992,3311442.8919333336
2008-08-24,114.93057163783483,1284.7418367346938,20.46567341551489,76.87899960887675,47628.992,3311442.8919333336
2008-08-25,115.17738790706711,1282.5377551020408,20.4064897420455,76.89120371293049,47628.992,3311442.8919333336
2008-08-26,115.42869399713011,1280.8693877551018,20.328938690496955,76.89718332096024,47628.992,3311442.8919333336
2008-08-27,115.7655101853974,1279.5887755102037,20.260979461669923,76.89071393694198,47628.992,3311442.8919333336
2008-08-28,115.86232633006817,1279.1397959183673,20.195673315865655,76.91342807691925,47628.992,3311442.8919333336
2008-08-29,115.96016294518297,1278.6448979591837,20.18363248863999,76.95777497583506,47628.992,3311442.8919333336
2008-08-30,116.04379543382295,1278.5224489795917,20.177469214614558,77.00316271100726,47628.992,3311442.8919333336
2008-08-31,116.11322379598812,1278.7724489795917,20.17718349378936,77.04959128243583,47628.992,3311442.8919333336
2008-09-01,116.16260113618812,1279.6869897959184,20.158989627993837,77.11201472379723,47628.992,3309109.5586
2008-09-02,116.04259081470722,1280.6321428571428,20.1875304747601,77.18331566635445,47628.992,3304442.8919333336
2008-09-03,115.67829475402833,1281.2711734693876,20.2636223403775,77.27237176700514,47628.992,3297442.8919333336
2008-09-04,115.2709376121054,1280.1959183673468,20.441550936017716,77.37173408975409,47628.992,3288109.5586
2008-09-05,114.65745805234326,1278.4727040816326,20.63111217849109,77.4893616501166,47628.992,3276442.8919333336
2008-09-06,113.8744479354547,1276.2477040816325,20.869030569037616,77.62601982428103,47628.992,3262442.8919333336
2008-09-07,112.92190726143974,1273.520918367347,21.1553061076573,77.78170861224739,47628.992,3246109.5586
2008-09-08,111.73906046808983,1270.1079081632654,21.511887743035143,77.97642798131827,47628.992,3232109.5586
2008-09-09,110.55845858515525,1265.577551020408,21.90887753233618,78.17839231685717,47628.992,3220442.891933333
2008-09-10,109.4192854044389,1260.327806122449,22.334846915030965,78.39545864961586,47628.992,3211109.5586
2008-09-11,108.29398978097099,1256.629081632653,22.674285651226434,78.61323934282575,47628.992,3204109.5586
2008-09-12,107.2540001304782,1254.1089285714286,23.017601949341444,78.79989755591568,47628.992,3199442.8919333336
2008-09-13,106.26241863017181,1251.844387755102,23.351550888528628,78.98316802200006,47628.992,3197109.5586
2008-09-14,105.31924528005172,1249.8354591836735,23.67613246878799,79.1630507410789,47628.992,3197109.5586
2008-09-15,104.36377610965651,1246.6951530612243,24.13341817077325,79.27770392748775,47628.992,3197109.5586
