Date,crude_price,sp_500,vix,usd,libya_oil_production,kazak_oil_production,qatar_oil_production,iran_oil_production,kuwait_oil_production,uae_oil_production,saudi_oil_production,iraq_oil_production,world_oil_consumption,usa_oil_production
2002-01-01,20.605000019073486,1155.25,22.269999980926514,117.88500022888184,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-02,21.010000228881836,1154.0,22.709999084472656,116.2699966430664,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-03,20.3700008392334,1166.75,21.34000015258789,116.54000091552734,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-04,21.6200008392334,1175.25,20.450000762939453,116.75,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-05,20.71000051498413,1161.3125,22.074999809265137,116.6924991607666,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-06,20.71000051498413,1161.3125,22.074999809265137,116.6924991607666,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-01-07,21.479999542236328,1166.75,21.940000534057617,116.97000122070312,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5873000.0
2002-02-01,20.399999618530273,1123.25,21.1200008392334,119.9800033569336,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-02,19.729999542236328,1121.0,22.18400001525879,120.16800079345703,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-03,19.729999542236328,1121.0,22.18400001525879,120.16800079345703,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-04,20.059999465942383,1095.5,24.8700008392334,119.08999633789062,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-05,20.049999237060547,1089.0,25.450000762939453,119.5999984741211,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-06,19.75,1083.25,26.09000015258789,119.55000305175781,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-02-07,19.68000030517578,1077.0,25.110000610351562,119.2699966430664,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5881000.0
2002-03-01,22.360000610351562,1132.75,19.959999084472656,119.48999786376953,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-02,21.456000518798827,1113.85,21.311999893188478,119.50800018310547,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-03,21.456000518798827,1113.85,21.311999893188478,119.50800018310547,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-04,22.5,1152.25,20.5,118.91000366210938,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-05,23.170000076293945,1149.0,20.299999237060547,118.62000274658203,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-06,23.219999313354492,1162.75,19.940000534057617,118.0,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
2002-03-07,23.780000686645508,1159.75,20.040000915527344,116.80000305175781,1383183.5479,972101.1616,694246.5753,3248200.0,1745865.7534,1930000.0,7090000.0,1823000.0,43650.734,5886000.0
