v2ProductCategory,count
Apparel,26276
(not set),16416
Office,11064
Drinkware,5865
Lifestyle,4444
Bags,2968
Electronics,2390
Headgear,1204
Notebooks & Journals,718
Waze,568
Bottles,422
Gift Cards,308
Accessories,298
Housewares,202
Backpacks,194
Google,190
More Bags,152
Fun,150
Android,58
Tumblers,12
