date_acquired,rank,price_per_ounce,bought_last_month,product_rating,num_reviews,estimated_monthly_profit
2025-05-29,Top 5,0.58,5850.0,4.69,26189.07,30244.5
2025-05-29,Top 50,1.02,205.45,4.43,857.29,1062.18
2025-05-30,Others,8.33,148.48,4.45,23.8,767.64
2025-05-30,Top 100,3.43,300.69,4.41,277.78,1554.57
2025-05-30,Top 15,0.68,937.88,4.58,3725.3,4848.84
2025-05-30,Top 25,0.7,763.21,4.59,1831.0,3945.8
2025-05-30,Top 5,0.6,6777.78,4.63,31830.33,35041.12
2025-05-30,Top 50,0.98,220.33,4.43,882.11,1139.11
2025-05-31,Others,7.51,128.21,4.36,31.91,662.85
2025-05-31,Top 100,3.07,259.64,4.41,337.3,1342.34
2025-05-31,Top 15,0.74,666.0,4.58,3660.2,3443.22
2025-05-31,Top 25,0.67,552.88,4.56,1813.25,2858.39
2025-05-31,Top 5,0.51,13250.0,4.66,46289.36,68502.5
2025-05-31,Top 50,0.9,225.76,4.44,920.91,1167.18
2025-06-01,Others,4.78,134.38,4.37,25.45,694.74
2025-06-01,Top 100,5.97,294.59,4.36,254.08,1523.03
2025-06-01,Top 15,0.72,1098.33,4.55,3755.33,5678.37
2025-06-01,Top 25,0.69,650.93,4.56,1822.48,3365.31
2025-06-01,Top 5,0.55,10584.21,4.64,35363.79,54720.37
2025-06-01,Top 50,0.94,187.25,4.45,864.19,968.08
2025-06-02,Others,9.2,124.42,4.35,36.8,643.25
2025-06-02,Top 100,3.81,402.67,4.38,257.99,2081.8
2025-06-02,Top 15,0.63,1197.73,4.58,3724.41,6192.26
2025-06-02,Top 25,0.78,646.43,4.58,1863.89,3342.04
2025-06-02,Top 5,0.59,6481.82,4.65,28160.82,33511.01
2025-06-02,Top 50,0.92,196.36,4.44,837.72,1015.18
2025-06-03,Others,7.7,186.21,4.49,24.57,962.71
2025-06-03,Top 100,6.33,387.87,4.37,276.37,2005.29
2025-06-03,Top 15,0.64,1048.44,4.65,3533.5,5420.43
2025-06-03,Top 25,0.67,671.15,4.6,1921.24,3469.85
2025-06-03,Top 5,0.53,12885.71,4.65,45125.43,66619.12
2025-06-03,Top 50,0.91,187.13,4.42,869.18,967.46
2025-06-04,Others,5.48,173.75,4.45,27.26,898.29
2025-06-04,Top 100,6.59,280.85,4.32,292.43,1451.99
2025-06-04,Top 15,0.67,1794.74,4.65,3783.25,9278.81
2025-06-04,Top 25,0.75,628.95,4.58,2017.34,3251.67
2025-06-04,Top 5,0.54,10555.56,4.64,44062.0,54572.25
2025-06-04,Top 50,0.92,201.1,4.46,936.73,1039.69
2025-06-05,Others,3.99,156.82,4.38,26.33,810.76
2025-06-05,Top 100,5.23,273.4,4.34,229.82,1413.48
2025-06-05,Top 15,0.68,861.11,4.65,3438.51,4451.94
2025-06-05,Top 25,0.74,700.0,4.59,1840.62,3619.0
2025-06-05,Top 5,0.52,13555.0,4.68,47102.25,70079.35
2025-06-05,Top 50,1.06,197.45,4.46,829.97,1020.82
2025-06-06,Others,7.54,155.95,4.39,29.08,806.26
2025-06-06,Top 100,3.59,255.39,4.39,269.08,1320.37
2025-06-06,Top 15,0.64,765.0,4.67,3507.9,3955.05
2025-06-06,Top 25,0.82,688.64,4.58,1907.84,3560.27
2025-06-06,Top 5,0.58,14823.81,4.66,49662.95,76639.1
2025-06-06,Top 50,1.13,206.08,4.42,860.41,1065.43
2025-06-07,Others,7.15,171.95,4.39,32.76,888.98
2025-06-07,Top 100,1.77,265.67,4.4,307.07,1373.51
2025-06-07,Top 15,0.68,1384.21,4.66,3644.31,7156.37
2025-06-07,Top 25,0.97,757.32,4.57,2016.83,3915.34
2025-06-07,Top 5,0.52,13875.86,4.65,46818.03,71738.2
2025-06-07,Top 50,0.87,229.44,4.49,1024.66,1186.2
2025-06-08,Others,7.22,156.1,4.39,28.14,807.04
2025-06-08,Top 100,3.42,292.45,4.42,282.14,1511.97
2025-06-08,Top 15,0.83,1319.05,4.62,3771.35,6819.49
2025-06-08,Top 25,0.77,1237.5,4.65,2179.93,6397.88
2025-06-08,Top 5,0.49,16275.0,4.7,54105.88,84141.75
2025-06-08,Top 50,0.88,226.88,4.51,1083.39,1172.97
2025-06-10,Others,5.09,182.05,4.46,24.28,941.2
2025-06-10,Top 100,7.92,310.62,4.36,226.82,1605.91
2025-06-10,Top 15,0.8,1338.46,4.62,2519.3,6919.84
2025-06-10,Top 25,0.72,198.04,4.51,1508.58,1023.87
2025-06-10,Top 5,0.51,11832.26,4.65,40213.23,61172.78
2025-06-10,Top 50,1.4,175.21,4.51,828.22,905.84
2025-06-11,Others,3.66,189.47,4.42,25.49,979.56
2025-06-11,Top 100,3.92,281.43,4.36,228.16,1454.99
2025-06-11,Top 15,0.71,1027.27,4.63,3408.38,5310.99
2025-06-11,Top 25,0.97,621.95,4.6,1824.31,3215.48
2025-06-11,Top 5,0.51,14653.85,4.68,44548.85,75760.4
2025-06-11,Top 50,0.94,206.72,4.43,842.2,1068.74
2025-06-12,Others,5.31,152.86,4.47,23.22,790.29
2025-06-12,Top 100,3.25,282.35,4.41,242.59,1459.75
2025-06-12,Top 15,0.66,1232.61,4.66,3686.37,6372.59
2025-06-12,Top 25,1.23,654.9,4.56,1861.99,3385.83
2025-06-12,Top 5,0.53,13952.0,4.65,46441.68,72131.84
2025-06-12,Top 50,1.06,176.23,4.46,846.88,911.11
